country,country_code,2012,2013,2014,2015,2016,2017
Afghanistan,AFG,140.72,147.98636363636362,144.483,148.79363636363635,144.75636363636366,222.725
Albania,ALB,89.70583333333333,87.3925,85.60999999999999,89.46083333333335,85.03083333333335,93.6
Algeria,DZA,118.46166666666666,115.02416666666666,109.473,116.93666666666667,126.51666666666667,156.01
Angola,AGO,99.10416666666669,94.49916666666667,93.636,96.24916666666668,97.85499999999998,111.28
Argentina,ARG,145.93000000000004,126.46,139.88,116.36500000000001,120.14090909090909,86.325
Armenia,ARM,105.3225,110.76833333333332,103.069,104.40250000000002,105.75166666666668,135.06
Austria,AUT,91.57166666666667,87.62333333333333,89.004,90.8725,85.7975,91.64
Azerbaijan,AZE,107.35999999999997,124.32583333333332,107.00500000000002,106.12583333333335,121.88416666666666,123.37
Barbados,BRB,149.292,133.46555555555557,251.57599999999996,49.31,56.93000000000001,46.065
Belarus,BLR,96.32333333333334,92.61916666666667,91.89200000000001,92.66583333333331,94.455,97.47
Belgium,BEL,73.57083333333333,70.61833333333333,73.27799999999999,73.46083333333333,72.20916666666666,81.39500000000001
Benin,BEN,178.26333333333332,178.48333333333335,171.01399999999998,177.32666666666668,187.94833333333335,245.265
Bolivia,BOL,136.09444444444443,142.4322222222222,158.88125,130.76222222222222,132.6955555555556,98.725
Bosnia and Herzegovina,BIH,98.86250000000001,94.63250000000001,94.15,96.47583333333334,92.12583333333333,97.765
Botswana,BWA,79.48833333333333,75.05583333333334,74.787,76.82583333333332,79.87916666666666,86.025
Brazil,BRA,88.205,83.10666666666667,89.143,87.29833333333333,78.12083333333332,54.2
Bulgaria,BGR,101.08583333333333,96.71666666666665,93.011,96.9225,95.06666666666666,99.735
Burkina Faso,BFA,199.3166666666667,198.96916666666667,182.11700000000002,196.14333333333332,221.30166666666665,215.725
Burundi,BDI,101.75916666666666,98.96750000000002,95.83000000000001,98.28916666666667,101.10750000000002,106.745
Cameroon,CMR,109.13250000000001,107.0025,104.03100000000002,102.78666666666668,106.14583333333333,141.225
Canada,CAN,136.04333333333335,142.83749999999998,147.72899999999998,140.70833333333331,132.83666666666667,62.94
Central African Republic,CAF,97.0675,92.60666666666667,93.098,90.64416666666665,92.86500000000001,104.75
Chad,TCD,100.77999999999999,96.72583333333334,96.65700000000001,94.26416666666665,95.1975,107.735
Chile,CHL,122.13749999999999,106.67125000000001,110.97,111.50555555555555,98.53375000000001,105.16
China,CHN,154.54142857142855,161.71428571428572,176.00571428571428,134.41142857142856,156.20374999999999,
Colombia,COL,109.89555555555556,74.47000000000001,86.03714285714285,94.76374999999999,110.64500000000001,77.815
Costa Rica,CRI,63.03799999999999,50.622,64.46,68.40400000000001,64.22999999999999,43.25
Croatia,HRV,103.18583333333333,98.03500000000003,97.078,98.8875,94.21249999999999,99.35499999999999
Cuba,CUB,174.57999999999998,256.43,176.47,106.3,175.0425,101.575
Cyprus,CYP,93.20916666666665,87.30166666666666,85.86600000000001,87.1075,87.40249999999999,103.94
Czech Republic,CZE,91.41333333333331,87.35666666666668,87.585,88.3175,84.7025,90.695
Denmark,DNK,77.64833333333333,74.71333333333334,77.502,78.21833333333332,75.9625,83.55
